Day,Date,PageViews,Sessions,Visitors,NewVisitors
Tuesday,2021-07-27,91,73,59,43
Wednesday,2021-07-28,80,60,52,38
Thursday,2021-07-29,101,32,29,24
Friday,2021-07-30,34,25,25,14
Saturday,2021-07-31,67,31,27,25
Sunday,2021-08-01,497,355,304,291
Monday,2021-08-02,210,132,109,77
Tuesday,2021-08-03,97,81,62,41
Wednesday,2021-08-04,124,73,57,40
Thursday,2021-08-05,226,116,87,66
Friday,2021-08-06,132,87,68,51
Saturday,2021-08-07,91,48,36,20
Sunday,2021-08-08,82,56,44,22
Monday,2021-08-09,61,41,38,23
Tuesday,2021-08-10,67,51,41,27
Wednesday,2021-08-11,69,47,42,32
Thursday,2021-08-12,115,83,71,53
Friday,2021-08-13,175,104,80,56
Saturday,2021-08-14,116,68,44,30
Sunday,2021-08-15,98,63,46,31
Monday,2021-08-16,192,101,74,59
Tuesday,2021-08-17,581,357,304,267
Wednesday,2021-08-18,245,179,149,119
Thursday,2021-08-19,132,84,66,48
Friday,2021-08-20,118,64,60,48
Saturday,2021-08-21,309,253,247,232
Sunday,2021-08-22,1071,865,790,773
Monday,2021-08-23,233,190,165,122
Tuesday,2021-08-24,131,107,91,58
Wednesday,2021-08-25,112,87,65,43
Thursday,2021-08-26,88,68,55,35
Friday,2021-08-27,276,175,154,126
Saturday,2021-08-28,185,129,120,101
Sunday,2021-08-29,68,54,45,35
Monday,2021-08-30,94,69,60,45
Tuesday,2021-08-31,106,70,61,53
Wednesday,2021-09-01,134,62,56,41
Thursday,2021-09-02,120,63,52,42
Friday,2021-09-03,66,42,37,27
Saturday,2021-09-04,45,37,29,21
Sunday,2021-09-05,55,41,33,24
Monday,2021-09-06,83,62,47,35
Tuesday,2021-09-07,84,59,48,35
Wednesday,2021-09-08,56,47,42,30
Thursday,2021-09-09,124,97,88,77
Friday,2021-09-10,95,60,48,40
Saturday,2021-09-11,5,5,4,0
Sunday,2021-09-12,2,2,2,0
Monday,2021-09-13,30,17,16,12
Tuesday,2021-09-14,167,140,132,121
Wednesday,2021-09-15,103,78,71,63
Thursday,2021-09-16,68,53,51,43
Friday,2021-09-17,45,36,34,29
Saturday,2021-09-18,54,39,39,32
Sunday,2021-09-19,35,31,31,30
Monday,2021-09-20,59,44,41,34
Tuesday,2021-09-21,67,41,41,34
Wednesday,2021-09-22,93,58,53,41
Thursday,2021-09-23,54,40,33,25
Friday,2021-09-24,56,41,38,28
Saturday,2021-09-25,47,33,30,23
Sunday,2021-09-26,47,25,21,17
Monday,2021-09-27,99,62,52,41
Tuesday,2021-09-28,50,38,33,26
Wednesday,2021-09-29,61,46,41,33
Thursday,2021-09-30,100,64,61,53
Friday,2021-10-01,232,188,164,147
Saturday,2021-10-02,72,58,53,36
Sunday,2021-10-03,101,55,45,35
Monday,2021-10-04,257,199,188,164
Tuesday,2021-10-05,121,85,75,57
Wednesday,2021-10-06,96,71,61,53
Thursday,2021-10-07,109,51,42,31
Friday,2021-10-08,76,53,49,41
